"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CEO","Fax","Phone","Preparer","President","Principal","ACCT_876","ACCT_830A","ACCT_830B","ACCT_830C","ACCT_830D","ACCT_830E","ACCT_830F","ACCT_830G","ACCT_830H","ACCT_830I","ACCT_830J","CEO_F","CEO_M","Preparer_F","Preparer_M","President_F","President_M","Principal_F","Principal_M","Acct_891","ACCT_893","ACCT_894","Acct_700","Acct_701","Acct_886A","Acct_886B","Acct_886C","Acct_886D","Acct_886E","Acct_886F","Acct_886G","Acct_887A","Acct_887B","Acct_887C","Acct_887D","Acct_887E","Acct_887F","Acct_887G","Acct_887H","Acct_887I","Acct_887J","Acct_887K","Acct_887L","Acct_889","Acct_711","Acct_887M","Acct_887N","Acct_887P","Acct_887Z","Acct_842","Acct_843","ACCT_830K","ACCT_830L","ACCT_830M","ACCT_830N","ACCT_830O","ACCT_830P","ACCT_830Q","ACCT_830R","ACCT_830S","ACCT_830T","ACCT_566A","CertifiedBy","CertifiedBy_F","CertifiedBy_M","Acct_879A","Acct_879B","Acct_879C","Acct_879D","Acct_879E","Acct_879F","Acct_879G","Acct_879H","Acct_879I","Acct_879J","Acct_879K","Acct_879L","Acct_879M","Acct_879N","Acct_879O","Acct_879P","Acct_879Q","Acct_879R","Acct_879S","Acct_879T","Acct_888","Extension","Acct_834A1","Acct_834B1","Acct_834C1","Acct_834D1","Acct_834E1","Acct_834F1","Acct_834G1","Acct_834H1","Acct_834I1","Acct_834J1","Acct_834K1","Acct_834L1","Acct_834M1","Acct_834N1","Acct_834O1","Acct_834P1","Acct_834Q1","Acct_834R1","Acct_834S1","Acct_834T1","Acct_566B","Acct_887R","ACCT_879A1","ACCT_879A2","ACCT_879A3","ACCT_879A4","ACCT_879A5","ACCT_879B1","ACCT_879B2","ACCT_879B3","ACCT_879B4","ACCT_879B5","ACCT_879C1","ACCT_879C2","ACCT_879C3","ACCT_879C4","ACCT_879D1","ACCT_879D2","ACCT_879D3","ACCT_879D4","ACCT_879D5","ACCT_879D6","ACCT_879D7","ACCT_879D8","ACCT_879U","ACCT_879V","ACCT_879W","ACCT_879X","ACCT_879Y","ACCT_886H","ACCT_887S","ACCT_887T","ACCT_887U","ACCT_845A","ACCT_845B","ACCT_845C","ACCT_845D","ACCT_845E","ACCT_845F","ACCT_845G","ACCT_845H","ACCT_845I","ACCT_845J","ACCT_845K","ACCT_845L","ACCT_845M","ACCT_845N","ACCT_845O","ACCT_845P","ACCT_845Q","ACCT_845R","ACCT_845S","ACCT_845T","ACCT_879D9","Acct_855A","Acct_855B","Acct_855C","Acct_855D","Acct_855E","Acct_855F","Acct_855G","Acct_855H","Acct_855I","Acct_855J","Acct_855K","Acct_855L","Acct_855M","Acct_855N","Acct_855O","Acct_855P","Acct_855Q","Acct_855R","Acct_855S","Acct_855T","BondProvider","MemberMinorityStatus","EligibleMinorityStatus","MemberAsianAmerican","MemberAfricanAmerican","MemberHispanicAmerican","MemberNativeAmerican","EligibleAsianAmerican","EligibleAfricanAmerican","EligibleHispanicAmerican","EligibleNativeAmerican","Acct_887V","Acct_879Q1","Acct_1027Z","Acct_1028Z","Acct_1029Z"
19216,6/30/2019 0:00:00,10115,"Young Jr.","5168222478","5168221070","Stagg","Williams",,"",,,,,,,,,,,"Robert","X","Michael",,"David",,,,"http://www.nyteamfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Stagg","Michael",,"0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19228,6/30/2019 0:00:00,10121,"Donahue","5702084592","8005482849","Donahue","Shields",,"",,,,,,,,,,,"Traci",,"Traci",,"Richard","J",,,"http://www.crossvalleyfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Donahue","Traci",,"1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19249,6/30/2019 0:00:00,10135,"Miller","3372894744","3372892740","Miller","Peters",,"",,,,,,,,,,,"Pauline",,"Pauline",,"Linda",,,,"http://www.mylcu.net",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Miller","Pauline",,"0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19253,6/30/2019 0:00:00,10136,"Stovall",,"6628734393","Stovall","Jones",,"",,,,,,,,,,,"Sherida",,"Sherida",,"Willie","M",,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Stovall","Sherida",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","1","0","1","0","0","0","1","0","0","0","0",,,
19263,6/30/2019 0:00:00,10142,"Dwyer, Jr",,"8028798790","Harkins","DesLauriers",,"",,,,,,,,,,,"John","J","Debbie",,"Charles","T",,,"http://www.nefcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","1","1","Member to member transfers",,,,,,,,,,,,,"0","Harkins","Debbie",,"1","1","1","1","1","0","1","1","0","0","0","0","0","0","1","0","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","0","1","1","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
19269,6/30/2019 0:00:00,10148,"Tedesco","5166208080","5166208100","Mingoia","Wigand",,"",,,,,,,,,,,"Joseph","A","LIsa",,"Paul",,,,"http://oceanfinancial.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"1","Mingoia","LIsa",,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
19274,6/30/2019 0:00:00,10152,"Lovejoy","9894799860","9894793357","Gray","Booms",,"",,,,,,,,,,,"Lori","K","Cheryl",,"Chanda",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Gray","Cheryl",,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
19280,6/30/2019 0:00:00,10156,"Woody","6062634957","6062634956","Woody","Osborne",,"",,,,,,,,,,,"Felicia",,"Felicia",,"Jennifer","L",,,"http://www.ekyfcu.com",,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Woody","Felicia",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
19285,6/30/2019 0:00:00,10160,"Whalen","4062621416","4062621416","Whalen","Hannah",,"",,,,,,,,,,,"Eileen","M","Eileen",,"Kirk",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","no online banking",,,,,,,,,,,,,"1","Whalen","Eileen",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
19295,6/30/2019 0:00:00,10167,"Banks","2256649161","2256649103","Banks","Johnson",,"",,,,,,,,,,,"Fred",,"Fred",,"Iceola","H",,,"http://WWW.LPFCU.ORG",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Banks","Fred",,"0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","1","0","0","0","0","0","1","0","0","0","0",,,
19304,6/30/2019 0:00:00,10172,"Dambra","5855864949","5855868225","Cicero","Payment",,"",,,,,,,,,,,"Thomas","G","Mary",,"Ryan",,,,"http://www.familyfirstny.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","0","1","1","1","0","1","1","0","1","1","1","1","0",,"0","1","1","0",,,,,,,,,,,,,"1","Cicero","Mary",,"1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","1",,,
19307,6/30/2019 0:00:00,10173,"Falk",,"7654973328","Coleman","Anderson",,"",,,,,,,,,,,"Robert","A","Janice",,"Lucia",,,,"http://www.purduefed.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"1","Coleman","Janice",,"1","1","1","1","1","0","1","1","1","1","0","0","0","1","0","0","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","1","1","1","0","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
19319,6/30/2019 0:00:00,10182,"Marion","8122732609","8122653003","Rowlett","Hill",,"",,,,,,,,,,,"Stephanie","J","Kattie",,"Chris",,,,"http://jcfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Rowlett","Kattie",,"1","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
19320,6/30/2019 0:00:00,10183,"Perkins","2256547232","2256547230","smith","Boggs",,"",,,,,,,,,,,"Grace","G","kathy",,"Louis",,,,"http://www.gplafcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","smith","kathy",,"0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19355,6/30/2019 0:00:00,10205,"Warne","9184380407","9184380140","WRIGHT","Tanner",,"",,,,,,,,,,,"Dana","L","RANDY",,"Charles","R",,,"http://www.spaceagetulsafcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","WRIGHT","RANDY",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19390,6/30/2019 0:00:00,10228,"Manet","7652889461","7652895554","Manet","Harper",,"",,,,,,,,,,,"Larry",,"Larry",,"Nancy",,,,"http://www.delmetfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Manet","Larry",,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19393,6/30/2019 0:00:00,10231,"MILLER","8173353659","8173353658","MILLER","TAYLOR",,"",,,,,,,,,,,"CHARISSE",,"CHARISSE",,"SAMUEL",,,,"http://www.ibew116fcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","MILLER","CHARISSE",,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19401,6/30/2019 0:00:00,10237,"Flaherty",,"8454527323","Gay","Behrman",,"",,,,,,,,,,,"Ronald","A","Thomas",,"Walter","V",,,"http://TEGFCU.COM",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"1","1","1","0",,,,,,,,,,,,,"0","Gay","Thomas",,"1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
19416,6/30/2019 0:00:00,10246,"Cundiff","4348456167","4348453801","Wilson","Brown",,"",,,,,,,,,,,"Alfreda","B","Jackie",,"Sylvester","O",,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Wilson","Jackie",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","1","0","1","0","0","0","1","0","0","0","0",,,
19429,6/30/2019 0:00:00,10253,"Henry","7178455896","7178431153","Henry","Kreiger",,"",,,,,,,,,,,"Cathy","S","Cathy",,"Jason","M",,,"http://www.yefcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Henry","Cathy",,"0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
19430,6/30/2019 0:00:00,10254,"Holman","3304539288","3304538409","HOLMAN","Crosbie",,"",,,,,,,,,,,"Melissa","L","MELISSA",,"Ronald",,,,"http://teamsters92fcu.com",,,"Well Capitalized","Well Capitalized","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","HOLMAN","MELISSA",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19432,6/30/2019 0:00:00,10256,"Burchett","2605635728","2605630334","Burchett","White",,"",,,,,,,,,,,"Linette",,"Linette",,"Michael",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Burchett","Linette",,"0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19433,6/30/2019 0:00:00,10257,"Fankhouser","7406333304","7406332103","Fankhouser","Lepic",,"",,,,,,,,,,,"Pam",,"Pam",,"James","R",,,"http://softitecfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Fankhouser","Pam",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
19440,6/30/2019 0:00:00,10261,"Meyer","5073875235","5073873055","Meyer","Erdman",,"",,,,,,,,,,,"Nick","S","Nick",,"Steve","L",,,"http://www.mnvalleyfcu.coop",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"1","Meyer","Nick",,"1","0","1","1","1","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
19446,6/30/2019 0:00:00,10266,"Overton","9786640365","9786645938","Overton","Gill",,"",,,,,,,,,,,"Michele","F","Michele",,"Donna",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Overton","Michele",,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Berkley Regional Insurance Company","0","0","0","0","0","0","0","0","0","0","0","0",,,
19448,6/30/2019 0:00:00,10267,"Jones",,"8659711971","Rodgers","Brace",,"",,,,,,,,,,,"Debbie","H","Lisa",,"Jim",,,,"http://www.utfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"0","Rodgers","Lisa",,"1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Berkley Regional Insurance Company","0","0","0","0","0","0","0","0","0","0","1","1",,,
19454,6/30/2019 0:00:00,10272,"Pantano","7323298624","7323293838","Pantano","Phillips",,"",,,,,,,,,,,"Pierina",,"Rina",,"Robert",,,,"http://www.njgateway.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","0","0","0","0","0","1","1","0","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Pantano","Rina",,"0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19483,6/30/2019 0:00:00,10288,"Shoemaker","8142341665","8142340252","SHOEMAKER","Yoder",,"",,,,,,,,,,,"Terry",,"TERRY",,"Doug",,,,"http://www.statecollegefcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","SHOEMAKER","TERRY",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
19501,6/30/2019 0:00:00,10299,"Hackenberger","7178521391","7178521390","Hackenberger","Bakner",,"",,,,,,,,,,,"Andrea","L","Andrea",,"Brent",,,,"http://WWW.PACERESOURCESFCU.VIRTUAL",,,"Well Capitalized","Well Capitalized","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Hackenberger","Andrea",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
